zeit	anzahl1	anzahl2	haeufigkeit
0.0166666666666667	0	0	53
0.0366666666666667	1	1.0000000001	113
0.05665	2	2.0000000002	132
0.0766666666666667	3	3.0000000003	104
0.0966666666666667	4	4.0000000004	53
0.116666666666667	1	5.0000000005	28
0.13665	1	6.0000000006	12
0.15665	0	7.0000000007	4
0.17665	1	8.0000000008	2
0.19665	2		
0.216666666666667	2		
0.234983333333333	2		
0.255	4		
0.274983333333333	3		
0.294983333333333	0		
0.315	2		
0.334966666666667	3		
0.353316666666667	3		
0.373316666666667	5		
0.393316666666667	1		
0.413316666666667	3		
0.433316666666667	5		
0.453316666666667	2		
0.473316666666667	2		
0.493333333333333	5		
0.513316666666667	3		
0.533316666666667	2		
0.553316666666667	1		
0.573316666666667	1		
0.593316666666667	2		
0.613316666666667	0		
0.633316666666667	3		
0.653316666666667	3		
0.673316666666667	5		
0.693316666666667	1		
0.713316666666667	1		
0.733316666666667	1		
0.753316666666667	2		
0.773333333333333	0		
0.793316666666667	2		
0.81165	3		
0.83165	1		
0.85	4		
0.869966666666667	1		
0.89	5		
0.909983333333333	3		
0.929983333333333	1		
0.95	3		
0.969983333333333	2		
0.989966666666667	2		
1.01	3		
1.03	3		
1.04996666666667	2		
1.06998333333333	2		
1.08998333333333	1		
1.11	2		
1.12998333333333	3		
1.14998333333333	3		
1.17	2		
1.18998333333333	1		
1.20998333333333	4		
1.22998333333333	0		
1.24998333333333	0		
1.26998333333333	3		
1.29	2		
1.30998333333333	2		
1.32998333333333	2		
1.34998333333333	2		
1.37	2		
1.38998333333333	3		
1.41	4		
1.43	2		
1.45	2		
1.46998333333333	1		
1.48998333333333	0		
1.50998333333333	2		
1.52998333333333	4		
1.54998333333333	2		
1.56998333333333	2		
1.58998333333333	3		
1.61001666666667	1		
1.62998333333333	3		
1.64998333333333	3		
1.67	1		
1.68998333333333	4		
1.70998333333333	1		
1.72998333333333	2		
1.74998333333333	4		
1.76998333333333	2		
1.78998333333333	4		
1.80831666666667	2		
1.82833333333333	2		
1.84833333333333	6		
1.86831666666667	5		
1.88831666666667	5		
1.90831666666667	3		
1.92831666666667	1		
1.94831666666667	3		
1.96833333333333	4		
1.98831666666667	2		
2.00833333333333	2		
2.0283	1		
2.04831666666667	1		
2.06831666666667	1		
2.08831666666667	2		
2.10833333333333	1		
2.12831666666667	1		
2.14831666666667	1		
2.16666666666667	2		
2.18665	4		
2.20665	2		
2.22665	3		
2.245	5		
2.26333333333333	2		
2.28331666666667	2		
2.30331666666667	2		
2.32331666666667	6		
2.34331666666667	6		
2.36331666666667	4		
2.38331666666667	1		
2.40331666666667	4		
2.4233	5		
2.4433	4		
2.46331666666667	3		
2.48331666666667	0		
2.50333333333333	8		
2.5233	4		
2.54333333333333	4		
2.56331666666667	1		
2.5833	4		
2.60331666666667	1		
2.62333333333333	1		
2.64331666666667	1		
2.66331666666667	3		
2.68331666666667	1		
2.70331666666667	1		
2.72333333333333	1		
2.74333333333333	2		
2.76331666666667	4		
2.78333333333333	2		
2.80331666666667	5		
2.82333333333333	1		
2.84333333333333	0		
2.86166666666667	2		
2.88165	2		
2.90165	3		
2.92165	2		
2.94163333333333	1		
2.96163333333333	2		
2.98165	2		
3.00165	2		
3.02165	4		
3.04163333333333	1		
3.06165	2		
3.08165	2		
3.10163333333333	4		
3.12163333333333	1		
3.14166666666667	2		
3.16165	1		
3.18165	6		
3.20165	4		
3.22165	1		
3.24166666666667	2		
3.26166666666667	4		
3.28165	0		
3.30165	2		
3.32165	0		
3.34165	2		
3.3617	1		
3.38163333333333	3		
3.40166666666667	2		
3.42163333333333	2		
3.44165	4		
3.46165	1		
3.48163333333333	4		
3.50163333333333	0		
3.52165	1		
3.54166666666667	2		
3.56165	0		
3.58163333333333	1		
3.60165	4		
3.62166666666667	1		
3.64165	2		
3.66163333333333	1		
3.68165	1		
3.70165	4		
3.72165	1		
3.74165	2		
3.76163333333333	0		
3.78165	3		
3.80165	3		
3.82166666666667	3		
3.84165	5		
3.86165	3		
3.88163333333333	2		
3.90165	6		
3.92165	2		
3.94165	1		
3.96163333333333	0		
3.98165	3		
4.00165	2		
4.02165	1		
4.04165	7		
4.06166666666667	4		
4.08163333333333	5		
4.10165	1		
4.12165	2		
4.14166666666667	1		
4.16165	1		
4.18166666666667	1		
4.20165	2		
4.22163333333333	3		
4.24166666666667	1		
4.26166666666667	1		
4.28166666666667	4		
4.30165	3		
4.32165	1		
4.34165	1		
4.36165	2		
4.38165	3		
4.40165	2		
4.42165	1		
4.44166666666667	6		
4.46165	0		
4.48166666666667	4		
4.50165	5		
4.52165	2		
4.54165	4		
4.56165	6		
4.58165	3		
4.60165	1		
4.62163333333333	0		
4.64163333333333	1		
4.66165	0		
4.68165	6		
4.70165	4		
4.72165	2		
4.74165	4		
4.76165	2		
4.78166666666667	4		
4.80165	1		
4.81998333333333	3		
4.84	3		
4.85998333333333	4		
4.87996666666667	1		
4.9	3		
4.91998333333333	2		
4.93998333333333	3		
4.95998333333333	0		
4.97998333333333	1		
4.99998333333333	1		
5.01998333333333	2		
5.04	3		
5.05998333333333	7		
5.07998333333333	0		
5.09998333333333	2		
5.11998333333333	3		
5.13998333333333	0		
5.15996666666667	2		
5.17998333333333	1		
5.2	2		
5.21998333333333	2		
5.23998333333333	3		
5.25998333333333	0		
5.27998333333333	3		
5.29996666666667	1		
5.31998333333333	3		
5.33998333333333	4		
5.36	2		
5.37998333333333	2		
5.39998333333333	5		
5.41998333333333	0		
5.43998333333333	2		
5.46001666666667	3		
5.47996666666667	0		
5.49998333333333	4		
5.51996666666667	3		
5.54	1		
5.55998333333333	1		
5.57998333333333	2		
5.59998333333333	0		
5.61998333333333	1		
5.63998333333333	0		
5.65998333333333	4		
5.67998333333333	2		
5.69998333333333	0		
5.72	3		
5.74	3		
5.75996666666667	2		
5.78	2		
5.8	5		
5.81998333333333	0		
5.84	3		
5.86	3		
5.87998333333333	7		
5.9	4		
5.92	3		
5.93998333333333	3		
5.96	1		
5.98	2		
6	2		
6.02	3		
6.03998333333333	1		
6.05998333333333	6		
6.07998333333333	5		
6.09998333333333	3		
6.12	1		
6.13998333333333	2		
6.15998333333333	3		
6.18	3		
6.19998333333333	2		
6.22	3		
6.23996666666667	3		
6.25998333333333	3		
6.28	4		
6.29998333333333	4		
6.31996666666667	3		
6.34	2		
6.36	0		
6.37998333333333	1		
6.4	1		
6.41998333333333	2		
6.44	2		
6.45998333333333	4		
6.48	1		
6.5	5		
6.51998333333333	3		
6.53998333333333	4		
6.55998333333333	2		
6.58	6		
6.59998333333333	1		
6.62	0		
6.63998333333333	3		
6.66	1		
6.67998333333333	2		
6.69998333333333	3		
6.71998333333333	3		
6.74	1		
6.76	3		
6.78	1		
6.79998333333333	3		
6.81998333333333	2		
6.83998333333333	3		
6.85998333333333	3		
6.87998333333333	0		
6.9	3		
6.91998333333333	2		
6.94	2		
6.95998333333333	3		
6.98	3		
6.99998333333333	5		
7.01996666666667	3		
7.03998333333333	3		
7.06	3		
7.08	5		
7.09998333333333	5		
7.11998333333333	1		
7.13998333333333	1		
7.16	0		
7.17998333333333	1		
7.2	1		
7.21998333333333	2		
7.23998333333333	2		
7.25998333333333	1		
7.27998333333333	1		
7.29998333333333	0		
7.32	2		
7.33998333333333	0		
7.35998333333333	3		
7.38	0		
7.39998333333333	3		
7.41998333333333	4		
7.43998333333333	1		
7.45833333333333	1		
7.47833333333333	1		
7.49831666666667	0		
7.5183	0		
7.53831666666667	5		
7.55831666666667	1		
7.5783	5		
7.59831666666667	2		
7.61831666666667	3		
